aX, aY, aZ, gX, gY, gZ, mX, mY, mZ, imu_degC, gps_Date,                             gps_time, gps_Lat, gps_Long, gps_Alt, gps_SIV, gps_FixType,                             gps_GroundSpeed, gps_Heading, gps_pDOP, category, LOI
-206.050003, -61.520000, -994.140015, 0.200000, 0.560000, 1.480000, 26.549999, -37.349998, -50.400002, 33.779999, , , 45.563904, 18.632811, 120.971008, 0, 0, 0.000000, 0.000000, 9999.000000, unknown, unknown
-198.729996, -58.590000, -981.929993, 0.770000, -0.490000, 1.760000, 26.700001, -37.200001, -50.250000, 33.880001, , , 45.563904, 18.632811, 120.971008, 0, 0, 0.000000, 0.000000, 9999.000000, unknown, unknown
-190.429993, -58.110001, -991.210022, 1.610000, -2.500000, -1.040000, 25.500000, -37.799999, -51.450001, 33.830002, , , 45.563904, 18.632811, 120.971008, 0, 0, 0.000000, 0.000000, 9999.000000, unknown, unknown
-195.800003, -66.889999, -980.469971, -1.600000, 3.600000, -0.200000, 26.400000, -38.250000, -51.000000, 34.119999, , , 45.563904, 18.632811, 120.971008, 0, 0, 0.000000, 0.000000, 9999.000000, unknown, unknown
-199.220001, -66.410004, -984.859985, 0.590000, -2.210000, 1.570000, 25.350000, -37.500000, -50.549999, 34.209999, , , 45.563904, 18.632811, 120.971008, 0, 0, 0.000000, 0.000000, 9999.000000, unknown, unknown
-198.240005, -78.129997, -988.770020, -1.140000, 0.050000, -0.080000, 25.650000, -37.950001, -51.299999, 33.880001, , , 45.563904, 18.632811, 120.971008, 0, 0, 0.000000, 0.000000, 9999.000000, unknown, unknown
-192.869995, -74.709999, -982.419983, -1.210000, -2.060000, 1.540000, 25.049999, -37.049999, -52.650002, 33.970001, , , 45.563904, 18.632811, 120.971008, 0, 0, 0.000000, 0.000000, 9999.000000, unknown, unknown
-184.570007, -84.470001, -984.380005, -1.090000, -1.790000, 0.890000, 25.799999, -38.849998, -51.900002, 33.779999, , , 45.563904, 18.632811, 120.971008, 0, 0, 0.000000, 0.000000, 9999.000000, unknown, unknown
-181.149994, -61.040001, -990.719971, -3.110000, 2.260000, 0.550000, 25.350000, -36.750000, -50.549999, 34.020000, , , 45.563904, 18.632811, 120.971008, 0, 0, 0.000000, 0.000000, 9999.000000, unknown, unknown
-184.570007, -67.870003, -986.820007, -1.350000, -3.660000, 0.690000, 26.250000, -36.599998, -51.450001, 34.020000, , , 45.563904, 18.632811, 120.971008, 0, 0, 0.000000, 0.000000, 9999.000000, unknown, unknown
-193.850006, -82.519997, -978.030029, 1.020000, 0.080000, 1.710000, 25.350000, -37.200001, -51.000000, 33.970001, , , 45.563904, 18.632811, 120.971008, 0, 0, 0.000000, 0.000000, 9999.000000, unknown, unknown
-193.360001, -62.009998, -984.380005, -2.180000, 0.240000, -0.520000, 26.250000, -38.099998, -51.150002, 33.880001, , , 45.563904, 18.632811, 120.971008, 0, 0, 0.000000, 0.000000, 9999.000000, unknown, unknown
-184.570007, -74.709999, -982.909973, -3.280000, 3.070000, -0.490000, 25.500000, -36.599998, -51.900002, 34.020000, , , 45.563904, 18.632811, 120.971008, 0, 0, 0.000000, 0.000000, 9999.000000, unknown, unknown
-200.199997, -72.750000, -979.489990, 2.530000, -1.510000, 0.790000, 25.650000, -37.500000, -50.549999, 34.209999, , , 45.563904, 18.632811, 120.971008, 0, 0, 0.000000, 0.000000, 9999.000000, unknown, unknown
-191.410004, -63.480000, -985.840027, -1.890000, 0.840000, -0.400000, 26.549999, -35.400002, -51.150002, 33.830002, , , 45.563904, 18.632811, 120.971008, 0, 0, 0.000000, 0.000000, 9999.000000, unknown, unknown
-197.750000, -80.080002, -973.630005, 0.050000, -1.660000, -0.950000, 25.350000, -36.750000, -51.000000, 34.020000, , , 45.563904, 18.632811, 120.971008, 0, 0, 0.000000, 0.000000, 9999.000000, unknown, unknown
-196.289993, -73.239998, -985.840027, -0.870000, 0.630000, 0.070000, 26.100000, -37.950001, -50.250000, 33.880001, , , 45.563904, 18.632811, 120.971008, 0, 0, 0.000000, 0.000000, 9999.000000, unknown, unknown
-198.729996, -74.220001, -986.820007, -1.830000, -0.480000, -2.660000, 24.750000, -37.049999, -50.400002, 33.970001, , , 45.563904, 18.632811, 120.971008, 0, 0, 0.000000, 0.000000, 9999.000000, unknown, unknown
-180.660004, -69.339996, -977.049988, 0.520000, -2.530000, 2.690000, 25.650000, -36.750000, -52.049999, 33.880001, , , 45.563904, 18.632811, 120.971008, 0, 0, 0.000000, 0.000000, 9999.000000, unknown, unknown
