aX, aY, aZ, gX, gY, gZ, mX, mY, mZ, imu_degC, gps_Date,                             gps_time, gps_Lat, gps_Long, gps_Alt, gps_SIV, gps_FixType,                             gps_GroundSpeed, gps_Heading, gps_pDOP, category, LOI
-172.850006, 25.879999, 959.469971, 8.410000, 1.010000, -0.700000, 9.300000, -22.200001, 16.950001, 32.630001, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-177.250000, -15.140000, 989.260010, 1.660000, -2.010000, -2.250000, 11.550000, -21.150000, 15.900000, 32.389999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-186.039993, 1.950000, 1005.369995, -0.930000, 0.340000, -3.820000, 10.500000, -20.700001, 16.500000, 32.389999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-200.679993, -1.950000, 1006.349976, -1.340000, -2.680000, -0.260000, 11.550000, -19.950001, 16.200001, 32.730000, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-188.479996, 4.390000, 1007.809998, -1.790000, -1.720000, -2.850000, 11.850000, -19.799999, 17.100000, 32.580002, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-183.589996, -4.390000, 1004.390015, -1.230000, 0.150000, -3.120000, 10.350000, -19.799999, 16.350000, 32.439999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-177.729996, -6.350000, 997.070007, -0.610000, -0.940000, 1.400000, 10.350000, -19.799999, 16.500000, 32.730000, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-166.500000, -12.700000, 993.650024, 3.310000, -5.180000, -2.460000, 10.050000, -21.450001, 16.200001, 32.389999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-175.779999, -11.720000, 1000.489990, 0.240000, -1.850000, 2.990000, 10.500000, -19.950001, 16.950001, 32.389999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-188.960007, 0.490000, 998.539978, -2.180000, 0.610000, 0.560000, 11.250000, -20.400000, 16.500000, 32.730000, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-176.270004, -16.110001, 996.580017, 1.010000, 2.720000, 1.290000, 11.400000, -20.100000, 15.600000, 32.250000, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-188.479996, -11.230000, 996.580017, -0.430000, 3.280000, 1.270000, 10.050000, -19.950001, 15.450000, 32.439999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-171.880005, -9.770000, 995.609985, 1.580000, -0.150000, 2.090000, 9.600000, -21.299999, 15.300000, 32.389999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-178.220001, 0.490000, 998.049988, 2.070000, 0.820000, 1.030000, 10.650000, -21.000000, 16.799999, 32.439999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-195.800003, -8.790000, 989.260010, -1.870000, 0.340000, 2.160000, 12.300000, -19.650000, 16.200001, 32.290001, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-170.899994, -10.740000, 991.700012, -5.520000, -0.150000, -2.150000, 11.400000, -20.549999, 14.550000, 32.389999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-178.710007, 2.930000, 1000.979980, -2.020000, 0.820000, -0.210000, 10.650000, -19.799999, 16.350000, 32.630001, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-185.059998, -2.930000, 1004.880005, -2.340000, 0.100000, -1.560000, 12.000000, -20.400000, 15.150000, 32.580002, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-186.520004, 0.000000, 990.229980, -0.040000, 0.160000, 2.120000, 11.100000, -20.549999, 16.799999, 32.389999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-185.550003, 4.390000, 990.719971, 1.350000, -1.960000, 0.210000, 10.650000, -20.100000, 15.600000, 32.389999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-171.880005, -3.420000, 992.190002, -0.340000, -0.550000, 0.890000, 10.350000, -21.299999, 16.799999, 32.580002, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-185.550003, -13.180000, 995.119995, -0.400000, -0.500000, -1.210000, 11.250000, -20.400000, 16.200001, 32.529999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-187.009995, -2.930000, 985.840027, -2.890000, 0.080000, -2.190000, 10.350000, -20.100000, 15.600000, 32.250000, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-180.660004, -8.790000, 1001.460022, -1.470000, -0.250000, -1.250000, 10.050000, -21.900000, 16.950001, 32.580002, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-181.639999, -3.420000, 982.419983, -1.180000, -0.640000, 2.330000, 9.750000, -20.700001, 15.150000, 32.730000, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-194.820007, -11.720000, 988.770020, 0.400000, -0.950000, -0.340000, 10.350000, -21.750000, 16.799999, 32.630001, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-186.039993, -3.910000, 996.580017, -0.600000, -1.400000, 2.530000, 10.050000, -19.650000, 16.500000, 32.730000, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-182.619995, 0.000000, 994.630005, -1.850000, 0.990000, -2.310000, 11.400000, -19.799999, 15.300000, 32.580002, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-187.009995, -7.320000, 991.700012, -2.650000, 0.470000, -0.350000, 10.800000, -20.700001, 15.900000, 32.730000, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-179.199997, -9.280000, 994.140015, -1.040000, 1.370000, -1.920000, 11.100000, -20.100000, 17.850000, 32.389999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-179.199997, -12.700000, 1000.000000, 0.150000, -2.390000, 2.790000, 11.550000, -21.450001, 14.700000, 32.439999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-183.589996, 4.880000, 1006.840027, 0.790000, -4.980000, 1.120000, 10.050000, -19.650000, 16.500000, 32.730000, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-195.309998, -4.390000, 987.789978, -1.790000, -2.690000, -0.630000, 9.750000, -20.400000, 15.150000, 32.389999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-192.869995, 6.840000, 1002.440002, -1.020000, -2.260000, -0.530000, 10.650000, -20.100000, 16.350000, 32.389999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-182.130005, -6.350000, 997.559998, -1.460000, -1.970000, 1.730000, 9.900000, -21.000000, 15.300000, 32.580002, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-179.199997, -8.300000, 1008.299988, -2.880000, -0.350000, -1.560000, 10.500000, -20.400000, 15.900000, 32.580002, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-188.960007, -11.230000, 998.539978, -2.790000, -2.930000, -0.920000, 12.000000, -19.950001, 16.500000, 32.439999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-185.059998, 4.880000, 992.679993, 0.380000, -3.110000, -1.810000, 11.250000, -20.700001, 14.700000, 32.389999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-200.199997, -7.320000, 999.510010, -1.500000, -2.990000, -0.840000, 10.650000, -20.549999, 16.049999, 32.580002, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-186.520004, 14.650000, 990.719971, 0.150000, -1.630000, 3.760000, 10.800000, -19.650000, 15.450000, 32.580002, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-191.889999, -5.370000, 992.190002, -0.330000, 0.050000, -1.260000, 9.300000, -19.950001, 15.900000, 32.389999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-173.830002, -4.390000, 985.840027, -1.690000, -0.190000, 0.330000, 11.250000, -19.950001, 15.450000, 32.389999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-198.240005, -0.980000, 990.719971, -2.980000, -0.830000, -1.790000, 10.500000, -19.950001, 15.450000, 32.630001, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
